id,client_id,product_id,order_date,status,total_amount,shipping_cost,payment_method
1,8873,7,2024-10-29T18:08:58.708Z,delivered,1247.35,0,paypal
2,496,802,2023-02-13T21:16:47.606Z,shipped,495.36,0,credit_card
3,7300,312,2023-05-02T05:32:09.810Z,delivered,346.55,0,credit_card
4,8595,617,2023-06-04T04:22:33.649Z,delivered,1038.35,0,credit_card
5,8495,46,2024-12-11T11:14:01.967Z,delivered,418.47,0,apple_pay
6,7870,185,2024-12-01T08:00:24.660Z,delivered,935.26,0,debit_card
7,5820,3,2023-06-22T04:16:27.425Z,delivered,1160.28,0,apple_pay
8,431,688,2024-09-22T10:50:31.208Z,delivered,377.71,0,debit_card
9,2912,47,2022-06-11T04:47:35.158Z,cancelled,1316.6,0,debit_card
10,9955,927,2024-02-27T12:41:05.557Z,delivered,502.81,0,google_pay
11,6840,387,2024-11-19T20:04:16.885Z,shipped,229.17,0,google_pay
12,6507,279,2024-08-30T10:52:43.725Z,delivered,234.06,0,credit_card
13,3614,732,2024-10-11T03:06:11.226Z,delivered,150.06,0,credit_card
14,9790,653,2024-09-16T08:28:59.522Z,shipped,484.5,0,debit_card
15,9548,819,2024-01-28T04:49:56.255Z,delivered,244.41,0,debit_card
16,9272,406,2024-12-08T07:46:44.840Z,cancelled,895.31,0,credit_card
17,6323,499,2022-01-07T19:00:06.446Z,delivered,881.79,0,credit_card
18,8099,360,2023-10-09T16:45:49.094Z,processing,1617.63,0,apple_pay
19,3937,742,2024-05-06T04:54:15.633Z,processing,211.84,0,credit_card
20,1553,130,2024-05-09T20:01:22.213Z,delivered,747.56,0,paypal
21,9636,636,2024-12-07T18:51:06.875Z,delivered,451.75,0,apple_pay
22,1754,819,2023-10-11T07:17:20.367Z,delivered,244.41,0,credit_card
23,9487,285,2021-10-01T18:46:33.144Z,delivered,522.28,0,google_pay
24,6158,571,2024-12-26T12:21:04.562Z,processing,514.5,0,google_pay
25,2854,718,2023-12-14T09:16:48.356Z,delivered,665.8,0,credit_card
26,4974,609,2023-08-03T10:34:51.327Z,delivered,535.47,0,paypal
27,3114,491,2024-02-22T00:42:05.903Z,returned,3790.7,0,paypal
28,2443,914,2024-11-08T23:04:02.117Z,delivered,290.09,0,debit_card
29,1701,901,2024-07-10T11:51:25.617Z,delivered,382.57,0,paypal
30,6,869,2024-09-07T09:46:34.769Z,delivered,206.84,0,debit_card
31,9761,219,2024-12-15T07:29:55.344Z,delivered,709.82,0,apple_pay
32,3322,585,2023-12-10T01:16:18.703Z,delivered,374.32,0,credit_card
33,5715,373,2024-09-06T19:35:58.606Z,processing,2419.96,0,credit_card
34,7222,777,2024-09-16T22:05:30.784Z,delivered,404.61,0,credit_card
35,2773,158,2024-01-27T22:20:38.551Z,cancelled,1566.9,0,credit_card
36,483,224,2024-06-07T13:35:22.430Z,cancelled,587.74,0,paypal
37,6339,726,2024-12-27T08:40:09.255Z,delivered,228.26,0,paypal
38,6541,950,2024-06-28T01:05:14.054Z,delivered,148.53,0,debit_card
39,9089,335,2023-05-01T20:53:01.525Z,cancelled,3231.98,0,credit_card
40,4140,329,2024-10-22T14:42:23.737Z,delivered,581.53,0,apple_pay
41,8292,611,2022-05-04T07:13:45.678Z,shipped,715.59,0,paypal
42,3315,474,2023-07-07T00:12:42.499Z,delivered,500.92,0,google_pay
43,9333,948,2024-06-18T17:08:38.908Z,delivered,184.06,0,google_pay
44,1483,409,2024-10-07T15:14:05.312Z,delivered,738.31,0,google_pay
45,1771,618,2024-11-06T10:35:15.525Z,delivered,116.08,0,apple_pay
46,6020,22,2024-12-05T14:49:08.177Z,delivered,253.45,0,paypal
47,3448,352,2022-03-28T20:21:20.903Z,processing,3298.16,0,credit_card
48,5547,295,2023-07-06T23:32:06.949Z,delivered,148.37,0,google_pay
49,4987,985,2022-04-13T04:56:35.383Z,delivered,211.74,0,debit_card
50,643,558,2024-12-12T21:49:27.814Z,returned,416.11,0,paypal
51,2537,560,2024-04-09T03:34:11.062Z,returned,339.83,0,apple_pay
52,3514,791,2022-10-15T07:59:52.870Z,delivered,555.28,0,credit_card
53,4395,368,2024-10-11T22:11:16.574Z,delivered,2445.31,0,credit_card
54,7713,481,2024-04-08T06:47:16.217Z,delivered,392.28,0,paypal
55,3184,658,2024-12-29T17:26:59.571Z,shipped,962,0,credit_card
56,4122,236,2024-12-14T23:03:40.199Z,processing,124.98,0,credit_card
57,6143,642,2022-09-30T12:59:26.947Z,shipped,83.91,0,apple_pay
58,1539,640,2022-08-10T02:48:36.592Z,shipped,130.21,0,credit_card
59,1019,132,2024-12-14T08:21:45.562Z,delivered,1083.65,0,credit_card
60,3483,630,2023-06-12T18:41:01.261Z,returned,952.47,0,credit_card
61,1387,394,2024-07-15T14:26:08.970Z,processing,615.76,0,credit_card
62,8657,576,2024-07-14T20:05:16.349Z,processing,483.41,0,google_pay
63,8809,228,2023-02-27T22:05:26.679Z,delivered,165.83,0,google_pay
64,8059,902,2024-01-24T05:42:49.757Z,delivered,596.63,0,debit_card
65,8720,542,2024-03-27T05:25:45.775Z,delivered,654.83,0,apple_pay
66,6405,490,2024-08-24T12:39:35.162Z,delivered,651.77,0,credit_card
67,4032,105,2024-04-27T17:19:31.023Z,shipped,1375.01,0,paypal
68,3569,601,2023-04-28T06:36:40.745Z,delivered,581.1,0,paypal
69,7816,326,2022-04-05T08:17:35.834Z,delivered,53.54,0,debit_card
70,1696,915,2024-04-27T18:18:38.182Z,delivered,305.19,0,apple_pay
71,5198,716,2024-12-07T17:26:26.391Z,delivered,385.69,0,credit_card
72,2252,728,2024-01-10T16:17:47.191Z,shipped,209.73,0,credit_card
73,4312,686,2023-06-12T13:45:30.112Z,delivered,441.43,0,paypal
74,4112,778,2024-05-05T14:53:29.269Z,delivered,88.96,0,credit_card
75,4325,97,2023-03-06T07:16:15.448Z,shipped,2712.82,0,credit_card
76,4071,719,2024-12-17T23:38:07.172Z,delivered,600.43,0,credit_card
77,3360,954,2024-02-28T11:01:13.436Z,delivered,255.88,5.81,credit_card
78,4085,593,2024-10-21T21:21:47.434Z,processing,859.92,0,paypal
79,3485,932,2021-04-25T15:47:13.871Z,delivered,346.02,0,apple_pay
80,8573,568,2024-01-27T20:14:30.321Z,delivered,110.11,0,credit_card
81,6827,629,2024-10-13T11:17:59.950Z,returned,891.07,0,paypal
82,7243,782,2024-05-19T15:45:01.568Z,delivered,318.01,0,debit_card
83,8048,95,2023-12-01T20:19:27.802Z,cancelled,2256.81,0,paypal
84,2798,960,2022-03-25T18:08:32.138Z,delivered,280.88,0,credit_card
85,2849,927,2023-08-01T14:16:00.740Z,delivered,502.81,0,credit_card
86,9050,726,2021-09-30T03:15:24.479Z,delivered,228.26,0,google_pay
87,1653,135,2024-09-14T22:07:06.798Z,delivered,2110.25,0,paypal
88,6266,811,2024-04-12T11:24:12.972Z,delivered,511.28,0,credit_card
89,9578,773,2024-01-07T11:09:26.014Z,delivered,403.98,0,apple_pay
90,1045,5,2024-11-29T07:40:56.349Z,delivered,1200.45,0,credit_card
91,9627,522,2023-05-03T04:55:30.870Z,delivered,306.8,0,credit_card
92,9548,37,2024-03-10T07:10:41.658Z,delivered,425.2,0,credit_card
93,4576,826,2022-09-10T07:40:10.384Z,shipped,316.82,0,credit_card
94,2766,422,2024-11-14T17:36:15.377Z,processing,256.22,0,credit_card
95,9538,839,2024-12-15T03:58:53.657Z,delivered,50.87,0,paypal
96,3097,503,2024-10-03T20:16:01.163Z,cancelled,2368.76,0,paypal
97,6414,194,2024-04-29T15:27:15.609Z,delivered,1251.47,0,google_pay
98,716,829,2024-10-18T21:52:31.428Z,delivered,278.7,0,apple_pay
99,8080,10,2022-09-16T16:43:06.276Z,shipped,1195.91,0,credit_card
100,1136,60,2022-01-17T00:28:36.387Z,processing,954.52,0,credit_card
101,5882,495,2024-09-13T06:14:50.701Z,delivered,3895.91,0,debit_card
102,824,486,2024-04-14T15:28:20.839Z,processing,1022.28,0,apple_pay
103,6833,67,2024-12-21T21:22:42.768Z,delivered,550.13,0,paypal
104,8320,287,2024-04-30T01:30:45.945Z,processing,279,0,credit_card
105,1412,8,2024-04-18T05:20:18.846Z,delivered,584.14,0,credit_card
106,9941,649,2024-01-02T12:16:54.986Z,delivered,815.51,0,credit_card
