id,product_id,client_id,rating,title,body,is_verified_purchase,helpful_votes,created_at
1,962,3006,4,"Very good, minor nitpicks",Really good smart home devices overall. Works well day to day. Good buy overall.,1,0,2024-02-04T19:16:35.506Z
2,989,3675,5,Highly recommend,Works flawlessly right out of the box. Setup was quick and intuitive. My favorite gadget right now.,1,7,2024-04-02T09:11:41.265Z
3,510,3768,5,Absolutely love it,"Exactly what I was hoping for. Battery life and reliability are excellent. Five stars, no complaints.",1,26,2023-10-19T09:00:23.535Z
4,888,8990,4,Solid choice,Solid performer for the price. Could be a touch better in one or two areas. Good buy overall.,1,27,2024-05-09T05:35:58.248Z
5,872,2975,4,Great value,Solid performer for the price. Quality is good for the money. Four stars from me.,1,11,2024-12-29T12:06:07.728Z
6,617,9135,5,Fantastic quality,This speakers & audio is outstanding. Great value for the price. Highly recommend to anyone considering it.,1,52,2024-09-23T18:22:45.525Z
7,914,869,5,Worth every penny,Genuinely impressed by the quality. Build quality feels premium. Highly recommend to anyone considering it.,0,11,2024-08-22T19:43:23.768Z
8,638,1604,5,Exceeded my expectations,Couldn't be happier with this purchase. Great value for the price. Would buy again without hesitation.,1,14,2023-11-14T09:39:49.350Z
9,393,5194,5,Fantastic quality,Genuinely impressed by the quality. Performance has been rock solid. Would buy again without hesitation.,1,13,2024-12-14T14:14:58.002Z
10,147,2589,5,Highly recommend,"Couldn't be happier with this purchase. Setup was quick and intuitive. Five stars, no complaints.",1,18,2024-11-27T18:10:53.810Z
11,924,173,5,Highly recommend,This printers & scanners is outstanding. Great value for the price. Highly recommend to anyone considering it.,0,7,2022-04-03T04:06:21.879Z
12,162,8774,4,Great value,Solid performer for the price. Quality is good for the money. Good buy overall.,1,22,2024-03-11T19:38:05.731Z
13,395,9279,5,Absolutely love it,Works flawlessly right out of the box. Build quality feels premium. Would buy again without hesitation.,0,14,2024-11-19T11:13:08.245Z
14,65,7588,5,Absolutely love it,"Exactly what I was hoping for. Great value for the price. Five stars, no complaints.",1,8,2024-11-29T01:18:19.577Z
15,925,1771,5,Absolutely love it,Exactly what I was hoping for. Setup was quick and intuitive. Would buy again without hesitation.,1,25,2024-11-26T23:42:50.616Z
16,923,6957,5,Fantastic quality,Works flawlessly right out of the box. Build quality feels premium. My favorite gadget right now.,1,17,2023-11-15T03:20:32.010Z
17,451,2056,4,Solid choice,Mostly very happy with this. Could be a touch better in one or two areas. Good buy overall.,0,26,2023-10-24T16:43:48.682Z
18,537,8909,4,"Very good, minor nitpicks",Really good gaming consoles & accessories overall. A couple of small quirks but nothing major. Would recommend with minor reservations.,0,0,2024-11-08T23:36:03.264Z
19,183,3635,2,Underwhelming,Not what I was hoping for. Performance was inconsistent. Would look elsewhere.,1,13,2023-03-24T02:51:56.207Z
20,193,1951,4,Pretty impressed,Mostly very happy with this. Works well day to day. Glad I bought it.,1,21,2024-06-12T01:56:37.375Z
21,223,9281,2,Disappointed,Not what I was hoping for. Performance was inconsistent. Hard to recommend.,1,0,2024-12-14T13:51:56.367Z
22,694,881,5,Best purchase this year,"Genuinely impressed by the quality. Battery life and reliability are excellent. Five stars, no complaints.",1,17,2023-12-25T11:09:31.438Z
23,773,5691,5,Worth every penny,"Exactly what I was hoping for. Great value for the price. Five stars, no complaints.",1,11,2024-12-13T08:21:46.904Z
24,406,5665,5,Worth every penny,This smartwatches & wearables is outstanding. Performance has been rock solid. Would buy again without hesitation.,1,12,2023-12-29T01:17:56.872Z
25,761,2498,5,Fantastic quality,Couldn't be happier with this purchase. Battery life and reliability are excellent. My favorite gadget right now.,1,6,2024-07-21T11:51:39.931Z
26,40,4359,4,Great value,Solid performer for the price. Quality is good for the money. Good buy overall.,1,35,2024-12-30T16:22:14.858Z
27,186,9375,4,Happy with it,Solid performer for the price. A couple of small quirks but nothing major. Good buy overall.,1,4,2024-12-03T08:47:49.489Z
28,692,2686,5,Fantastic quality,Genuinely impressed by the quality. Performance has been rock solid. Would buy again without hesitation.,1,27,2023-01-20T21:47:55.268Z
29,809,2962,5,Absolutely love it,"Works flawlessly right out of the box. Build quality feels premium. Five stars, no complaints.",1,10,2024-09-11T09:48:11.050Z
30,732,5989,4,"Very good, minor nitpicks",Mostly very happy with this. Quality is good for the money. Would recommend with minor reservations.,1,3,2024-11-30T05:02:36.672Z
31,817,2289,5,Exceeded my expectations,Genuinely impressed by the quality. Build quality feels premium. Highly recommend to anyone considering it.,1,2,2024-11-11T16:32:40.009Z
32,547,5314,3,It's okay,It's an okay product. Quality is acceptable for the price. Might consider other options next time.,1,6,2023-11-10T17:12:34.051Z
33,746,6972,4,Solid choice,Mostly very happy with this. Quality is good for the money. Good buy overall.,0,27,2024-11-29T04:34:22.479Z
34,872,6613,4,Happy with it,Mostly very happy with this. A couple of small quirks but nothing major. Good buy overall.,1,9,2024-05-24T03:41:10.152Z
35,267,2472,3,Does the job,Works as expected but nothing stands out. Quality is acceptable for the price. Three stars feels right.,0,44,2024-07-10T12:50:59.470Z
36,538,835,5,Best purchase this year,This gaming consoles & accessories is outstanding. Great value for the price. Highly recommend to anyone considering it.,0,7,2024-01-26T21:03:26.999Z
37,573,5975,5,Absolutely love it,Genuinely impressed by the quality. Great value for the price. Highly recommend to anyone considering it.,0,46,2024-09-04T08:55:11.257Z
38,100,9730,3,Does the job,It's an okay product. Has some pros and some cons. Okay if you can get it on sale.,0,37,2024-09-18T15:39:30.443Z
39,535,9534,5,Worth every penny,Exactly what I was hoping for. Performance has been rock solid. Highly recommend to anyone considering it.,1,21,2024-04-18T21:04:15.812Z
40,950,4984,3,Mixed feelings,Middle of the road for me. Quality is acceptable for the price. Three stars feels right.,0,12,2024-12-17T01:33:27.522Z
41,143,6408,5,Absolutely love it,This laptops is outstanding. Performance has been rock solid. Would buy again without hesitation.,0,27,2024-09-18T13:40:11.123Z
42,66,6089,3,Decent but not amazing,It's an okay product. Quality is acceptable for the price. Okay if you can get it on sale.,1,19,2024-12-25T13:45:39.109Z
43,825,3715,5,Best purchase this year,This storage & drives is outstanding. Build quality feels premium. My favorite gadget right now.,1,12,2024-05-20T22:07:12.492Z
44,99,3060,4,"Very good, minor nitpicks",Mostly very happy with this. Could be a touch better in one or two areas. Would recommend with minor reservations.,0,8,2024-02-18T21:30:14.189Z
45,166,160,5,Exceeded my expectations,Works flawlessly right out of the box. Great value for the price. Would buy again without hesitation.,0,35,2024-12-17T01:58:54.171Z
46,592,3626,3,Mixed feelings,Works as expected but nothing stands out. Has some pros and some cons. It's serviceable.,1,29,2024-12-21T10:31:38.625Z
47,947,5394,5,Exceeded my expectations,Exactly what I was hoping for. Performance has been rock solid. Would buy again without hesitation.,1,43,2024-10-09T22:27:55.921Z
48,270,3563,5,Exceeded my expectations,Genuinely impressed by the quality. Setup was quick and intuitive. My favorite gadget right now.,1,14,2024-05-24T02:28:36.087Z
49,73,4271,1,Stopped working,Completely failed to meet expectations. Felt flimsy and unreliable. Requesting a refund.,1,6,2024-05-11T17:24:43.851Z
50,666,7850,4,Great value,Really good computer components overall. Quality is good for the money. Good buy overall.,1,4,2024-10-07T10:19:00.089Z
51,486,6630,4,Great value,Does what it promises. Works well day to day. Would recommend with minor reservations.,1,38,2024-10-10T11:41:00.392Z
52,613,3951,5,Exceeded my expectations,Exactly what I was hoping for. Battery life and reliability are excellent. Highly recommend to anyone considering it.,1,44,2023-10-28T16:24:54.527Z
53,832,7125,5,Worth every penny,Genuinely impressed by the quality. Build quality feels premium. My favorite gadget right now.,0,10,2024-12-21T17:55:13.477Z
54,175,1979,5,Worth every penny,"Genuinely impressed by the quality. Performance has been rock solid. Five stars, no complaints.",0,22,2024-07-24T01:36:33.238Z
55,879,6724,2,Expected more,Several issues out of the box. Performance was inconsistent. Probably returning it.,1,6,2023-10-16T19:44:03.851Z
56,176,9625,4,Pretty impressed,Really good laptops overall. A couple of small quirks but nothing major. Glad I bought it.,1,3,2024-10-02T07:47:06.684Z
57,623,446,3,It's okay,"It's an okay product. Not bad, not great. Okay if you can get it on sale.",1,1,2024-01-27T17:52:01.378Z
58,122,1653,3,Does the job,Works as expected but nothing stands out. Quality is acceptable for the price. Might consider other options next time.,1,25,2024-12-15T20:30:34.982Z
59,675,8933,5,Fantastic quality,Works flawlessly right out of the box. Setup was quick and intuitive. My favorite gadget right now.,1,0,2024-06-02T08:54:30.248Z
60,432,1255,5,Exceeded my expectations,Works flawlessly right out of the box. Build quality feels premium. Would buy again without hesitation.,0,7,2024-03-29T12:19:40.317Z
61,874,1326,4,Solid choice,Does what it promises. Quality is good for the money. Glad I bought it.,1,7,2024-10-31T01:05:15.499Z
62,684,5507,5,Highly recommend,Exactly what I was hoping for. Setup was quick and intuitive. Would buy again without hesitation.,1,12,2024-11-24T09:26:07.246Z
63,726,6900,1,Terrible experience,Regret this purchase. Multiple defects right out of the box. Requesting a refund.,0,3,2024-10-23T18:50:19.796Z
64,960,2075,4,Great value,Solid performer for the price. A couple of small quirks but nothing major. Glad I bought it.,1,14,2024-12-28T11:28:41.694Z
65,494,7453,3,Mixed feelings,"It's an okay product. Not bad, not great. Might consider other options next time.",1,11,2023-11-10T12:48:20.389Z
66,835,695,4,Pretty impressed,Mostly very happy with this. Could be a touch better in one or two areas. Would recommend with minor reservations.,1,22,2024-11-20T00:27:48.180Z
67,390,7434,1,Stopped working,Completely failed to meet expectations. Multiple defects right out of the box. Avoid at all costs.,1,21,2024-09-30T19:29:07.351Z
68,979,4010,5,Best purchase this year,Works flawlessly right out of the box. Build quality feels premium. Highly recommend to anyone considering it.,0,29,2024-05-16T01:36:29.872Z
69,174,9067,5,Worth every penny,Exactly what I was hoping for. Setup was quick and intuitive. Would buy again without hesitation.,1,1,2024-03-09T05:49:31.047Z
70,584,4622,4,"Very good, minor nitpicks",Really good gaming consoles & accessories overall. A couple of small quirks but nothing major. Would recommend with minor reservations.,1,13,2024-11-30T11:25:06.075Z
71,79,3609,5,Absolutely love it,This smartphones is outstanding. Battery life and reliability are excellent. My favorite gadget right now.,1,2,2024-02-06T10:13:21.194Z
72,273,7766,5,Best purchase this year,Works flawlessly right out of the box. Build quality feels premium. My favorite gadget right now.,1,32,2022-12-14T08:35:31.343Z
73,926,848,5,Absolutely love it,This printers & scanners is outstanding. Build quality feels premium. Would buy again without hesitation.,1,2,2024-06-28T00:33:12.968Z
74,563,5967,4,Solid choice,Mostly very happy with this. A couple of small quirks but nothing major. Would recommend with minor reservations.,1,1,2024-09-09T19:33:42.897Z
75,905,1701,5,Exceeded my expectations,Genuinely impressed by the quality. Build quality feels premium. Would buy again without hesitation.,1,2,2024-11-14T13:57:08.489Z
76,358,4978,1,Do not buy,Regret this purchase. Felt flimsy and unreliable. Extremely frustrated.,1,12,2024-10-17T02:06:49.918Z
77,966,2520,5,Absolutely love it,Couldn't be happier with this purchase. Build quality feels premium. Highly recommend to anyone considering it.,0,32,2022-04-21T22:25:51.540Z
78,213,4455,4,Pretty impressed,Does what it promises. A couple of small quirks but nothing major. Would recommend with minor reservations.,0,25,2024-06-22T21:33:44.906Z
79,79,2476,3,Average,Works as expected but nothing stands out. Quality is acceptable for the price. It's serviceable.,1,6,2024-11-26T15:04:05.330Z
80,613,7912,5,Worth every penny,Couldn't be happier with this purchase. Great value for the price. Would buy again without hesitation.,0,3,2023-01-04T11:41:13.785Z
81,456,5782,5,Worth every penny,"Exactly what I was hoping for. Performance has been rock solid. Five stars, no complaints.",1,6,2024-05-30T12:03:17.594Z
82,356,6020,4,Happy with it,Solid performer for the price. Quality is good for the money. Would recommend with minor reservations.,1,31,2024-12-16T04:04:46.864Z
83,720,5817,4,Pretty impressed,Does what it promises. A couple of small quirks but nothing major. Glad I bought it.,0,17,2024-05-29T20:51:26.992Z
84,485,1698,2,Wouldn't repurchase,Quality didn't match the price. Ran into problems fairly quickly. Would look elsewhere.,1,25,2024-12-06T22:06:18.229Z
85,105,3119,4,Pretty impressed,Mostly very happy with this. Could be a touch better in one or two areas. Good buy overall.,0,25,2024-12-19T09:31:59.140Z
86,465,8688,4,"Very good, minor nitpicks",Mostly very happy with this. Quality is good for the money. Glad I bought it.,1,5,2024-01-19T19:47:47.541Z
87,948,3451,3,It's okay,"Works as expected but nothing stands out. Not bad, not great. Might consider other options next time.",1,31,2024-10-21T09:47:03.907Z
88,773,2895,1,Very disappointed,Stopped working almost immediately. Nothing about it worked as advertised. One star is too generous.,0,40,2024-02-06T17:01:34.360Z
89,432,4710,4,Pretty impressed,Solid performer for the price. Works well day to day. Glad I bought it.,1,33,2024-08-02T20:43:22.176Z
90,106,2715,5,Best purchase this year,Couldn't be happier with this purchase. Build quality feels premium. My favorite gadget right now.,1,26,2024-11-10T10:40:19.370Z
91,693,2105,4,"Very good, minor nitpicks",Really good computer components overall. Could be a touch better in one or two areas. Would recommend with minor reservations.,1,5,2024-09-19T14:04:43.399Z
92,997,9353,5,Exceeded my expectations,"Works flawlessly right out of the box. Performance has been rock solid. Five stars, no complaints.",0,0,2024-08-01T07:34:51.830Z
93,829,8665,4,"Very good, minor nitpicks",Really good storage & drives overall. A couple of small quirks but nothing major. Four stars from me.,0,14,2024-05-27T17:03:49.643Z
