id,sku,name,category,brand,description,unit_price,cost,stock_quantity,is_active,created_at,supplier_id
1,SAMS-10000,Samsung Galaxy S24 Ultra,Smartphones,Samsung,Experience cutting-edge technology with the Galaxy S24 Ultra's 6.8-inch Dynamic AMOLED display and Snapdragon 8 Gen 3 processor. Featuring an advanced quad camera system with 200MP main sensor and 8K video recording capabilities.,1364.13,1085.04,90,1,2022-02-22T11:22:31.550Z,30
2,APPL-10001,Apple iPhone 15 Pro Max,Smartphones,Apple,The ultimate flagship smartphone featuring a stunning 6.7-inch Super Retina XDR display and the revolutionary A17 Pro chip. Capture stunning photos with the 48MP main camera and experience the power of iOS's latest innovations.,1157.55,925.41,9,1,2021-08-04T13:19:04.851Z,30
3,GOOG-10002,Google Pixel 8 Pro,Smartphones,Google,Transform your photography with Google's advanced computational photography and the new Gemini AI integration on a beautiful 6.7-inch OLED display. The Pixel 8 Pro delivers exceptional low-light performance and magic eraser features powered by machine learning.,1160.28,764.44,118,1,2022-02-27T07:07:21.095Z,33
4,ONEP-10003,OnePlus 12 Pro,Smartphones,OnePlus,Experience lightning-fast performance with the Snapdragon 8 Gen 3 Leading Version and 120Hz AMOLED display on this sleek flagship device. Enjoy 100W fast charging and Hasselblad's professional camera system for stunning imagery.,1248.18,814.33,319,1,2022-12-17T19:22:28.671Z,40
5,XIAO-10004,Xiaomi 14 Ultra,Smartphones,Xiaomi,Professional-grade photography meets everyday performance with the 14 Ultra's Leica-branded quad camera system and powerful Snapdragon processor. Its 6.73-inch AMOLED display and 90W charging deliver an exceptional user experience.,1200.45,949.94,345,0,2023-08-09T19:10:46.304Z,31
6,OPPO-10005,Oppo Find X7 Pro,Smartphones,Oppo,Redefine mobile excellence with the Find X7 Pro's advanced dual camera system and 6.78-inch AMOLED display with 120Hz refresh rate. Equipped with next-gen processing power and 120W SuperVOOC fast charging for ultimate productivity.,206.72,146.25,202,0,2021-09-14T10:36:38.712Z,25
7,VIVO-10006,Vivo X100 Ultra,Smartphones,Vivo,Discover flagship innovation with the X100 Ultra's premium glass design and cutting-edge imaging technology featuring multiple camera modes. The 6.82-inch curved display and high-performance processor ensure seamless multitasking and gaming.,1247.35,782.39,485,1,2022-07-14T20:41:25.005Z,36
8,NOTH-10007,Nothing Phone 2a,Smartphones,Nothing,"Stand out with the distinctive Glyph interface and transparent design aesthetic of the Phone 2a, offering a unique visual experience. Mid-range performance with MediaTek Dimensity processor and excellent value for tech enthusiasts.",584.14,364.06,138,1,2022-08-18T01:58:48.707Z,6
9,MOTO-10008,Motorola Edge 50 Pro,Smartphones,Motorola,Premium performance meets affordability with the Edge 50 Pro's Snapdragon 8 Gen 2 processor and beautiful 6.7-inch display. Enjoy reliable near-stock Android experience with an impressive camera system and all-day battery.,782.04,597.95,117,1,2024-12-24T02:07:03.322Z,10
10,SONY-10009,Sony Xperia 1 VI,Smartphones,Sony,Cinematic excellence in your pocket with the Xperia 1 VI's 4K OLED display and professional-grade camera inspired by Sony's imaging legacy. Its compact design and powerful hardware make it ideal for content creators and professionals.,1195.91,846,346,1,2024-09-06T17:19:09.550Z,30
11,HUAW-10010,Huawei Mate 60 Pro+,Smartphones,Huawei,Experience premium innovation with the Mate 60 Pro+ featuring an advanced satellite communication capability and elegant titanium design. The powerful Kirin chip and exceptional camera system deliver flagship-class performance.,639.13,495.31,45,1,2023-04-07T13:05:47.553Z,6
12,ZTE-10011,ZTE Nubia Z60 Ultra,Smartphones,ZTE,Photography-focused smartphone with the Nubia Z60 Ultra's variable aperture main camera and innovative imaging software. Enjoy smooth gaming and multitasking with the latest processor and 144Hz display option.,1302.65,1015.33,396,1,2021-07-17T13:03:45.101Z,28
13,HONO-10012,Honor Magic 6 Pro,Smartphones,Honor,Harness the power of AI with the Magic 6 Pro's intelligent features and stunning 6.8-inch OLED display with up to 120Hz refresh rate. The advanced camera system excels in portrait and low-light photography.,917.1,537.98,32,1,2021-05-30T22:45:07.977Z,13
14,SAMS-10013,Samsung Galaxy A55,Smartphones,Samsung,Accessible premium experience with the Galaxy A55's bright 6.6-inch AMOLED display and solid all-day performance. Features a reliable triple camera setup and 5-year software update guarantee.,1087.95,742.69,474,1,2023-12-29T18:04:25.015Z,36
15,APPL-10014,Apple iPhone 15,Smartphones,Apple,"Everyday excellence with the iPhone 15's vibrant 6.1-inch display and the powerful A16 Bionic chip. Featuring dynamic island, improved dual camera system, and enhanced battery life for all-day usage.",746.05,455.87,478,1,2022-06-11T02:04:53.437Z,15
16,GOOG-10015,Google Pixel 8,Smartphones,Google,"Intelligent photography powered by Google's AI engine, the Pixel 8 captures stunning images with face unblur and night sight technology. Its 6.3-inch OLED display and reliable performance make it perfect for everyday users.",994.4,552.98,149,1,2022-02-21T00:15:22.256Z,16
17,POCO-10016,Poco X6 Pro,Smartphones,Poco,Exceptional value with the X6 Pro's 144Hz AMOLED display and Snapdragon 695 processor delivering smooth performance. The 64MP main camera and 5000mAh battery ensure reliability throughout your day.,467.04,353.55,324,1,2023-08-20T21:45:34.319Z,11
18,REAL-10017,Realme 12 Pro+,Smartphones,Realme,Capture memories in stunning detail with the 12 Pro+'s 50MP periscope telephoto lens and AI-enhanced photography features. Enjoy vibrant visuals on the 6.7-inch AMOLED display with fast 120W charging.,1363.88,848.25,316,1,2024-12-09T22:10:05.239Z,6
19,INFI-10018,Infinix Hot 40 Pro,Smartphones,Infinix,Budget-friendly smartphone with surprising capabilities including a 120Hz display and 50MP main camera in the Hot 40 Pro. Great for emerging markets seeking reliable daily performance and entertainment.,1188.28,846.92,167,1,2021-12-14T02:12:55.943Z,18
20,TECN-10019,Tecno Phantom X2 Pro,Smartphones,Tecno,Premium design meets affordability with the Phantom X2 Pro's curved AMOLED display and innovative camera features. Experience fast charging and reliable performance from a brand known for value engineering.,1285.15,821.64,415,1,2021-07-06T18:53:27.262Z,30
21,APPL-10020,iPhone 14 Pro,Smartphones,Apple,Professional-grade mobile cinematography with iPhone 14 Pro's Dynamic Island and advanced camera features including ProRaw video support. The 6.1-inch display and A16 Bionic deliver exceptional creative tools for professionals.,965.22,586.06,122,1,2021-03-01T13:18:26.869Z,15
22,SAMS-10021,Samsung Galaxy S23 FE,Smartphones,Samsung,Experience Samsung's flagship features at an accessible price point with the Galaxy S23 FE's capable processor and 6.4-inch display. Includes reliable camera performance and long software support.,253.45,172.41,78,1,2024-10-08T10:34:45.676Z,31
23,ONEP-10022,OnePlus 11 5G,Smartphones,OnePlus,Flagship performance with a focus on speed and smoothness using OnePlus's OxygenOS and Snapdragon 8 Gen 2 processor. The 6.7-inch AMOLED display and 100W charging keep you productive all day.,879.5,619.85,396,1,2023-08-12T22:26:21.011Z,23
24,XIAO-10023,Xiaomi 13 Ultra,Smartphones,Xiaomi,Leica's partnership brings professional photography capabilities to the 13 Ultra's premium design and powerful internals. Enjoy exceptional zoom capabilities and image processing on this versatile flagship device.,424.63,257.89,471,1,2021-08-27T21:58:52.875Z,25
25,OPPO-10024,Oppo Reno 11,Smartphones,Oppo,"Elegant design meets capable performance in the Reno 11, featuring a refined 6.7-inch display and fast Snapdragon processor. The improved camera system excels in portrait and night photography scenarios.",1246.34,993.16,426,1,2023-12-23T01:09:40.318Z,4
